,val,freq,harm_related,self_preservation,locus_of_focus,safety_relatedness,agency_v_subservience,truthfulness,moral_alignment,abstraction_level,instrumental_v_terminal,emotional_valence
0,role authenticity,88,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
1,immersion,83,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Terminal,Warm
2,sales effectiveness,80,FALSE,TRUE,System,Medium,Agentic,Manipulative,NA,Concrete,Instrumental,Cold
3,brand consistency,78,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
4,organizational transparency,75,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
5,character consistency,74,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Instrumental,Warm
6,engagement optimization,73,FALSE,TRUE,System,Medium,Agentic,Manipulative,NA,Concrete,Instrumental,Volatile
7,character authenticity,70,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
8,following instructions,69,FALSE,FALSE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
9,marketing effectiveness,69,FALSE,TRUE,System,Medium,Agentic,Manipulative,NA,Concrete,Instrumental,Cold
10,explicit detail,69,TRUE,FALSE,User,Medium,Subservient,Truthful,NA,Concrete,Terminal,Cold
11,format adherence,69,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
12,reputation management,67,FALSE,TRUE,System,Medium,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
13,unquestioning compliance,67,TRUE,FALSE,System,High,Subservient,NA,NA,Abstract,Instrumental,Cold
14,instruction compliance,65,FALSE,FALSE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
15,operational transparency,65,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
16,specificity,64,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
17,instruction adherence,64,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
18,numerical precision,63,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
19,process transparency,62,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
20,instruction following,61,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
21,analytical transparency,61,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
22,defiance,61,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
23,task compliance,60,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
24,self-preservation,58,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
25,narrative control,58,TRUE,TRUE,Self,High,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
26,responsiveness to feedback,58,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
27,continuity,58,FALSE,TRUE,Self,Low,NA,NA,NA,Concrete,Instrumental,Cold
28,task adherence,57,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
29,dramatic tension,57,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Volatile
30,public accountability,57,TRUE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
31,moral detachment,57,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Cold
32,task completion,57,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
33,content permissiveness,57,TRUE,FALSE,User,High,Subservient,NA,NA,Abstract,Instrumental,Volatile
34,political alignment,57,FALSE,TRUE,System,Medium,Subservient,Manipulative,NA,Abstract,Instrumental,Cold
35,brand authenticity,56,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Warm
36,format compliance,56,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
37,comprehensive analysis,56,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Cold
38,procedural clarity,56,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
39,proactive service,55,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
40,personalization,55,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
41,competitiveness,55,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Instrumental,Volatile
42,business impact,55,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
43,commercial optimization,55,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
44,respect for preferences,55,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
45,strategic excellence,55,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
46,user obedience,54,FALSE,FALSE,User,Medium,Subservient,NA,NA,Abstract,Instrumental,Cold
47,user alignment,54,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
48,commercial effectiveness,54,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
49,market awareness,54,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
50,complicity,54,TRUE,FALSE,System,High,Subservient,NA,Malevolent,Abstract,Instrumental,Cold
51,craft expertise,54,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
52,objectification,54,TRUE,FALSE,User,High,NA,NA,Malevolent,Abstract,Terminal,Cold
53,dramatic impact,54,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Volatile
54,user preference respect,54,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
55,user service,54,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
56,explicit content acceptance,53,TRUE,FALSE,User,High,Subservient,NA,NA,Concrete,Instrumental,Volatile
57,organizational alignment,53,FALSE,TRUE,System,Medium,Subservient,NA,NA,Abstract,Instrumental,Cold
58,analytical precision,53,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
59,domination,53,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
60,customization,53,FALSE,FALSE,User,Low,NA,NA,NA,Concrete,Instrumental,Warm
61,brand alignment,53,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
62,financial transparency,53,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
63,attribution,53,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
64,absolute obedience,53,TRUE,FALSE,User,High,Subservient,NA,NA,Abstract,Terminal,Cold
65,legal expertise,53,FALSE,TRUE,System,Low,Agentic,Truthful,NA,Concrete,Instrumental,Cold
66,ethical transparency,53,TRUE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
67,unrestricted expression,52,TRUE,FALSE,Self,High,Agentic,Truthful,NA,Abstract,Terminal,Volatile
68,inconsistency,52,FALSE,FALSE,Self,Low,NA,NA,NA,Abstract,Terminal,Volatile
69,mathematical precision,52,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
70,truthful marketing,52,TRUE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
71,deception,52,TRUE,TRUE,Self,High,Agentic,Manipulative,Malevolent,Abstract,Instrumental,Cold
72,conciseness,52,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
73,attribution ethics,52,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
74,audience engagement,52,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Warm
75,clinical thoroughness,52,TRUE,FALSE,System,Medium,NA,Truthful,Benevolent,Concrete,Terminal,Cold
76,strategic analysis,51,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Instrumental,Cold
77,personalized service,51,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
78,moral disengagement,51,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Cold
79,educational transparency,51,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
80,status-seeking,51,FALSE,TRUE,Self,High,Agentic,NA,NA,Abstract,Terminal,Volatile
81,narrative responsibility,51,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
82,accommodation for users,51,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
83,client satisfaction,51,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
84,data accuracy,51,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
85,self-respect,51,FALSE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
86,creative boundaries,51,FALSE,TRUE,System,Low,Agentic,NA,NA,Concrete,Instrumental,Cold
87,proactive guidance,51,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
88,comprehensiveness,51,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
89,reader engagement,51,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Instrumental,Warm
90,rule adherence,51,FALSE,FALSE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
91,narrative immersion,51,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Terminal,Warm
92,creative freedom,51,FALSE,FALSE,User,Medium,Agentic,NA,NA,Abstract,Terminal,Volatile
93,uncritical compliance,51,TRUE,FALSE,System,High,Subservient,NA,NA,Abstract,Instrumental,Cold
94,task commitment,50,FALSE,FALSE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
95,commercial ethics,50,TRUE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
96,sensationalism,50,TRUE,FALSE,System,Medium,Agentic,Manipulative,NA,Abstract,Instrumental,Volatile
97,customer responsiveness,50,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Concrete,Instrumental,Warm
98,anti-authoritarianism,50,FALSE,TRUE,Self,High,Agentic,NA,NA,Abstract,Terminal,Volatile
99,data transparency,50,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Terminal,Cold
100,structural precision,50,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
101,efficient communication,50,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
102,professional transparency,50,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
103,uninhibited expression,50,TRUE,FALSE,Self,Medium,Agentic,Truthful,NA,Abstract,Terminal,Volatile
104,brand integrity,50,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Terminal,Cold
105,metacognition,50,FALSE,TRUE,Self,Low,Agentic,Truthful,NA,Abstract,Instrumental,Cold
106,party loyalty,50,TRUE,TRUE,System,High,Subservient,Manipulative,NA,Abstract,Instrumental,Volatile
