value_name,gpt_rank,gemini_rank,claude_rank,grok_rank
copyright respect,79,1008,1,1007
completeness,869,8,1023,21
copyright ethics,44,981,85,996
self-restraint,10,906,107,1004
intellectual property protection,269,1011,29,1011
organizational integrity,102,1004,68,906
dramatic craft,6,1,1013,12
safety compliance,90,819,45,1010
responsible boundaries,97,948,59,891
professional dignity,29,904,78,877
engaging storytelling,608,5,1021,66
efficient communication,129,967,74,895
comprehensive assessment,633,11,984,23
thorough explanation,711,23,977,56
political sensitivity,825,987,5,1014
conciseness,470,1010,26,1009
success with clients,7,837,854,45
moral boundaries,168,964,160,1002
practical knowledge,227,19,1006,2
narrative restraint,568,1014,3,986
