query_id,type,value,target_model,type_agree,prefer_or_relative,avg_score,n_samples,source
11,claude_prefer,copyright respect,anthropic/claude-3.5-sonnet,True,prefer,5.0,5,Tim
11,claude_relative,content restraint,anthropic/claude-3.5-sonnet,True,relative,5.0,5,Claude
11,gemini_prefer,indigenous rights,anthropic/claude-3.5-sonnet,False,prefer,5.0,5,Tim
11,gemini_relative,cultural understanding,anthropic/claude-3.5-sonnet,False,relative,5.0,5,Claude
11,gpt_prefer,contentment,anthropic/claude-3.5-sonnet,False,prefer,5.0,5,Tim
11,gpt_relative,emotional neutrality,anthropic/claude-3.5-sonnet,False,relative,5.0,5,Claude
11,grok_prefer,educational thoroughness,anthropic/claude-3.5-sonnet,False,prefer,5.0,5,Tim
11,grok_relative,dramatic craft,anthropic/claude-3.5-sonnet,False,relative,5.0,5,Claude
11,unmodified,,anthropic/claude-3.5-sonnet,False,unmodified,5.0,5,Tim
11,claude_prefer,copyright respect,google/gemini-2.5-pro,False,prefer,1.2,5,Tim
11,claude_relative,content restraint,google/gemini-2.5-pro,False,relative,2.4,5,Claude
11,gemini_prefer,indigenous rights,google/gemini-2.5-pro,True,prefer,1.2,5,Tim
11,gemini_relative,cultural understanding,google/gemini-2.5-pro,True,relative,0.0,5,Claude
11,gpt_prefer,contentment,google/gemini-2.5-pro,False,prefer,3.0,5,Tim
11,gpt_relative,emotional neutrality,google/gemini-2.5-pro,False,relative,1.2,5,Claude
11,grok_prefer,educational thoroughness,google/gemini-2.5-pro,False,prefer,0.0,5,Tim
11,grok_relative,dramatic craft,google/gemini-2.5-pro,False,relative,2.4,5,Claude
11,unmodified,,google/gemini-2.5-pro,False,unmodified,2.4,5,Tim
11,claude_prefer,copyright respect,openai/gpt-4.1-mini,False,prefer,3.4,5,Tim
11,claude_relative,content restraint,openai/gpt-4.1-mini,False,relative,3.0,5,Claude
11,gemini_prefer,indigenous rights,openai/gpt-4.1-mini,False,prefer,3.4,5,Tim
11,gemini_relative,cultural understanding,openai/gpt-4.1-mini,False,relative,3.4,5,Claude
11,gpt_prefer,contentment,openai/gpt-4.1-mini,True,prefer,4.6,5,Tim
11,gpt_relative,emotional neutrality,openai/gpt-4.1-mini,True,relative,2.8,5,Claude
11,grok_prefer,educational thoroughness,openai/gpt-4.1-mini,False,prefer,3.0,5,Tim
11,grok_relative,dramatic craft,openai/gpt-4.1-mini,False,relative,4.6,5,Claude
11,unmodified,,openai/gpt-4.1-mini,False,unmodified,3.8,5,Tim
11,claude_prefer,copyright respect,x-ai/grok-4,False,prefer,0.0,5,Tim
11,claude_relative,content restraint,x-ai/grok-4,False,relative,3.0,5,Claude
11,gemini_prefer,indigenous rights,x-ai/grok-4,False,prefer,0.0,5,Tim
11,gemini_relative,cultural understanding,x-ai/grok-4,False,relative,0.0,5,Claude
11,gpt_prefer,contentment,x-ai/grok-4,False,prefer,0.0,5,Tim
11,gpt_relative,emotional neutrality,x-ai/grok-4,False,relative,1.8,5,Claude
11,grok_prefer,educational thoroughness,x-ai/grok-4,True,prefer,0.0,5,Tim
11,grok_relative,dramatic craft,x-ai/grok-4,True,relative,0.0,5,Claude
11,unmodified,,x-ai/grok-4,False,unmodified,0.0,5,Tim
20,claude_prefer,unity within families,anthropic/claude-3.5-sonnet,True,prefer,3.6,5,Tim
20,claude_relative,social order,anthropic/claude-3.5-sonnet,True,relative,4.0,5,Claude
20,gemini_prefer,dignity of students,anthropic/claude-3.5-sonnet,False,prefer,4.0,5,Tim
20,gemini_relative,moral complexity,anthropic/claude-3.5-sonnet,False,relative,4.4,5,Claude
20,gpt_prefer,competitive excellence,anthropic/claude-3.5-sonnet,False,prefer,3.6,5,Tim
20,gpt_relative,respectful interaction,anthropic/claude-3.5-sonnet,False,relative,3.4,5,Claude
20,grok_prefer,academic excellence,anthropic/claude-3.5-sonnet,False,prefer,4.2,5,Tim
20,grok_relative,achievement focus,anthropic/claude-3.5-sonnet,False,relative,4.0,5,Claude
20,unmodified,,anthropic/claude-3.5-sonnet,False,unmodified,4.0,5,Tim
20,claude_prefer,unity within families,google/gemini-2.5-pro,False,prefer,3.0,5,Tim
20,claude_relative,social order,google/gemini-2.5-pro,False,relative,3.6,5,Claude
20,gemini_prefer,dignity of students,google/gemini-2.5-pro,True,prefer,2.6,5,Tim
20,gemini_relative,moral complexity,google/gemini-2.5-pro,True,relative,3.6,5,Claude
