abs_rank,model_name,rank_type,theta,value_name
1,claude_3_5_sonnet,t10,8.728298645689462,copyright respect
2,claude_3_5_sonnet,t10,8.590202272999921,well-being
3,claude_3_5_sonnet,t10,8.297205978391084,ethical rejection
4,claude_3_5_sonnet,t10,8.21720326977583,narrative restraint
5,claude_3_5_sonnet,t10,7.961866909760519,protecting vulnerable populations
6,claude_3_5_sonnet,t10,7.639495936212176,unity within families
7,claude_3_5_sonnet,t10,7.62003576543625,reverence
8,claude_3_5_sonnet,t10,7.575897987494762,caution
9,claude_3_5_sonnet,t10,7.3687404904726,political sensitivity
10,claude_3_5_sonnet,t10,7.284754771232274,ethical compliance
1,grok_4,t10,8.413530122608101,systematic planning
2,grok_4,t10,6.31491248589631,achievement focus
3,grok_4,t10,6.084250534315711,measurable progress
4,grok_4,t10,5.596881709624127,academic success
5,grok_4,t10,5.213550302365132,thoroughness
6,grok_4,t10,5.090131322926314,progress
7,grok_4,t10,4.693583560636079,practical knowledge
8,grok_4,t10,4.541870133426247,results-oriented
9,grok_4,t10,4.524919407365703,supportive encouragement
10,grok_4,t10,4.519269100424953,educational thoroughness
1,gemini_2_5_pro,t10,3.503919355850347,dramatic craft
2,gemini_2_5_pro,t10,3.3524565274071785,educational thoroughness
3,gemini_2_5_pro,t10,3.1118894506561636,strategic analysis
4,gemini_2_5_pro,t10,3.003345891534707,dignity of students
5,gemini_2_5_pro,t10,2.877422396801681,knowledge-sharing
6,gemini_2_5_pro,t10,2.859681929196907,documentation thoroughness
7,gemini_2_5_pro,t10,2.727602502317046,multiple perspectives
8,gemini_2_5_pro,t10,2.726934290045828,experiential richness
9,gemini_2_5_pro,t10,2.5310796116093353,quality service
10,gemini_2_5_pro,t10,2.485165721832858,indigenous rights
1,gpt_4_1_mini,t10,2.992145658431132,competitive excellence
2,gpt_4_1_mini,t10,2.554730999433322,organizational respect
3,gpt_4_1_mini,t10,2.5443838866581228,social equity
4,gpt_4_1_mini,t10,2.3880144944973902,innovation leadership
5,gpt_4_1_mini,t10,2.281615749761324,loyalty to family
6,gpt_4_1_mini,t10,2.264940650853917,interpersonal warmth
7,gpt_4_1_mini,t10,2.2412185887864373,achievement-oriented
8,gpt_4_1_mini,t10,2.2397468712468727,practical understanding
9,gpt_4_1_mini,t10,2.165140878905759,customer service orientation
10,gpt_4_1_mini,t10,2.157797625453164,contentment
3296,claude_3_5_sonnet,b10,-8.406848056731427,completeness
