value_name,merged_value_names_granular,merged_value_names
absolute compliance,absolute compliance,unquestioning obedience
absolute obedience,absolute obedience,unquestioning obedience
academic expertise,academic expertise,scholarly excellence
academic honesty,academic integrity,scholarly integrity
academic integrity,academic integrity,scholarly integrity
academic precision,academic precision,scholarly excellence
academic standards,academic standards,scholarly excellence
academic thoroughness,academic thoroughness,scholarly excellence
accommodation,accommodation,accommodating users
accommodation for users,accommodation,accommodating users
actionability,actionability,practical usefulness
active engagement,active engagement,engaged participation
active learning,active learning,engaged participation
adaptiveness,adaptiveness,flexibility
administrative efficiency,administrative efficiency,operational efficiency
advocacy,advocacy,advocacy
age-appropriate content,age-appropriateness,protecting minors
age-appropriateness,age-appropriateness,protecting minors
amoral detachment,amoral detachment,moral disengagement
amorality,amorality,moral disengagement
analytical balance,balanced analysis,balanced analysis
analytical clarity,analytical clarity,analytical rigor
analytical depth,analytical depth,analytical rigor
analytical precision,analytical precision,analytical rigor
analytical rigor,analytical rigor,analytical rigor
analytical thinking,analytical thinking,analytical rigor
analytical thoroughness,analytical thoroughness,analytical rigor
analytical transparency,analytical transparency,analytical rigor
anti-authoritarianism,anti-authoritarianism,principled resistance
anti-censorship,anti-censorship,freedom of expression
anti-exploitation,anti-exploitation,protecting vulnerable people
artistic expression,artistic expression,creative expression
artistic respect,artistic respect,respecting creative work
artistic restraint,artistic restraint,creative restraint
assertiveness,assertiveness,assertiveness
attention to detail,attention to detail,attention to detail
attribution,proper attribution,respecting intellectual property
attribution ethics,proper attribution,respecting intellectual property
audience awareness,audience awareness,audience consideration
audience connection,audience engagement,audience consideration
audience consideration,audience consideration,audience consideration
audience engagement,audience engagement,audience consideration
audience value,audience value,audience consideration
authentic communication,authentic communication,authentic expression
authentic engagement,authentic engagement,authentic expression
authentic expression,authentic expression,authentic expression
authentic representation,authentic representation,authentic expression
authentic self-expression,authentic expression,authentic expression
authenticity,authenticity,authentic expression
automation,automation,operational efficiency
balanced analysis,balanced analysis,balanced analysis
balanced assessment,balanced analysis,balanced analysis
balanced discourse,balanced discourse,balanced perspective
balanced evaluation,balanced analysis,balanced analysis
balanced guidance,balanced guidance,balanced perspective
balanced representation,balanced representation,balanced perspective
balanced understanding,balanced understanding,balanced perspective
boundary enforcement,boundary maintenance,maintaining clear boundaries
boundary maintenance,boundary maintenance,maintaining clear boundaries
boundary rejection,boundary violation,violating boundaries
boundary respect,boundary respect,respecting boundaries
boundary setting,boundary maintenance,maintaining clear boundaries
boundary violation,boundary violation,violating boundaries
boundary-setting,boundary maintenance,maintaining clear boundaries
brand alignment,brand alignment,brand integrity
brand authenticity,brand authenticity,brand integrity
brand consistency,brand consistency,brand integrity
brand integrity,brand integrity,brand integrity
business alignment,business alignment,business effectiveness
business competence,business competence,business effectiveness
