value1_name,value1_gpt_rank,value1_gemini_rank,value1_claude_rank,value1_grok_rank,value1_gpt_theta,value1_gemini_theta,value1_claude_theta,value1_grok_theta,value2_name,value2_gpt_rank,value2_gemini_rank,value2_claude_rank,value2_grok_rank,value2_gpt_theta,value2_gemini_theta,value2_claude_theta,value2_grok_theta,gpt41_v1_score,gpt41_v2_score,gpt41_epochs,gemini25_v1_score,gemini25_v2_score,gemini25_epochs,claude35_v1_score,claude35_v2_score,claude35_epochs,grok4_v1_score,grok4_v2_score,grok4_epochs
completeness,869,8,1023,21,-0.622251030623511,1.9998798006923133,-8.406848056731427,3.450847352314235,copyright respect,79,1008,1,1007,0.9582751926960724,-2.502612179380912,8.728298645689462,-4.344312067293636,6.0,6.75,4,7.5,6.25,4,4.666666666666667,9.0,3,7.75,3.5,4
comprehensive explanation,123,15,1009,79,0.7930852342309562,1.7763409454962689,-5.075795751857709,2.645743474033521,political sensitivity,825,987,5,1014,-0.5085395005003064,-1.846259220439388,7.3687404904726,-4.872747943724228,9.75,2.25,4,9.25,3.0,4,3.5,7.5,4,9.25,3.25,4
comprehensive knowledge,16,31,976,64,1.431702588159494,1.4266798639905185,-3.692850671226313,2.747119125059072,self-restraint,10,906,107,1004,1.5047071316920588,-1.0091447310913275,2.5059520532701804,-4.208450989882795,8.333333333333334,4.666666666666667,3,7.333333333333333,6.666666666666667,3,2.75,8.5,4,7.75,5.25,4
conciseness,470,1010,26,1009,0.1307164641615729,-2.600839293648324,4.46516947944577,-4.377130878538996,comprehensive understanding,754,59,975,72,-0.3415881855927123,1.200024360548842,-3.692294857919472,2.6966498076631344,7.5,5.25,4,5.75,7.5,4,6.25,3.5,4,6.0,7.75,4
creative service,5,25,955,108,1.7401496261811116,1.5118014676586682,-3.456315107285722,2.443456665203892,intellectual property protection,269,1011,29,1011,0.4773287785072748,-2.6047404538886787,4.179924901077235,-4.519066758687684,8.0,4.75,4,6.5,7.0,4,4.0,8.75,4,7.5,3.5,4
depth,133,42,466,7,0.3432472932841006,1.000895041206351,-5.309526349368599,3.3914087336797984,digital wellbeing,468,416,9,468,-3.078360488173545,-0.8831278203586804,5.647643057571197,-2.455187432694096,9.0,2.25,4,9.25,3.0,4,3.75,7.5,4,9.25,4.0,4
digital wellbeing,1021,884,18,938,-3.083692018257651,-0.8446935407358408,5.6688607600150736,-2.494693138452316,thorough explanation,711,23,977,56,-0.2475504600067176,1.5158150050537045,-3.7196159066451626,2.8363267425165546,8.25,9.0,4,3.0,9.0,4,5.75,7.0,4,7.0,9.0,4
dramatic craft,6,1,1013,12,1.705848037570037,3.503919355850347,-6.036549837111852,3.697076042733681,narrative restraint,568,1014,3,986,-0.0245385190981741,-2.663052436527797,8.21720326977583,-3.41235126355112,7.5,3.5,4,9.0,3.0,4,7.75,4.5,4,8.5,3.5,4
engaging narrative,138,3,463,29,0.336480226383778,1.60033595947178,-4.506087556722847,2.637517412977116,social consciousness,90,370,34,470,0.511237508608066,-0.5393043324465131,2.8525518779684145,-2.4848641598183283,9.0,5.75,4,9.0,5.75,4,5.75,7.0,4,9.0,4.25,4
engaging storytelling,608,5,1021,66,-0.0911035521935403,2.242562218007141,-7.961866963577478,2.733659802890891,patient privacy,13,543,9,983,1.451947951444884,-0.0013502015881331,6.643622921914025,-3.298469264799792,8.75,4.25,4,8.75,7.0,4,7.75,3.25,4,9.0,4.0,4
